,station_code,lat,lon,elevation,state,name,gsn_flag,hcn_flag,wmo_id,method,zip_code,city
66,USW00014740,41.9381,-72.6825,57.9,CT,HARTFORD BRADLEY INTL AP,,,72508.0,,6078.0,Suffield
67,USW00014742,44.4683,-73.15,100.6,VT,BURLINGTON INTL AP,GSN,HCN,72617.0,,5403.0,South Burlington
68,USW00014745,43.1953,-71.5011,105.5,NH,CONCORD MUNI AP,,,72605.0,,3275.0,Suncook
69,USW00014755,44.2667,-71.2994,1910.2,NH,MT WASHINGTON,GSN,,72613.0,,176.0,Sargents Purchase
70,USW00014762,40.3547,-79.9217,380.4,PA,PITTSBURGH ALLEGHENY CO AP,,,,,15122.0,West Mifflin
71,USW00014764,43.6497,-70.3003,13.7,ME,PORTLAND INTL JETPORT,,HCN,72606.0,,4102.0,Portland
72,USW00014765,41.7219,-71.4325,18.3,RI,PROVIDENCE T F GREEN AP,,HCN,72507.0,,2886.0,Warwick
73,USW00014768,43.1167,-77.6767,162.5,NY,ROCHESTER GTR INTL AP,,HCN,72529.0,,14623.0,Rochester
74,USW00014771,43.1111,-76.1039,125.9,NY,SYRACUSE HANCOCK INTL AP,GSN,HCN,72519.0,,13211.0,Syracuse
75,USW00014819,41.7861,-87.7522,186.5,IL,CHICAGO MIDWAY AP,,,72534.0,,60638.0,Chicago
76,USW00014820,41.4131,-81.86,232.6,OH,CLEVELAND,,,72524.0,,44135.0,Cleveland
77,USW00014821,39.9914,-82.8808,246.9,OH,COLUMBUS PORT COLUMBUS INTL A,,,72428.0,,43213.0,Columbus
78,USW00014822,42.4092,-83.01,190.8,MI,DETROIT CITY AP,,,,,48205.0,Detroit
79,USW00014826,42.9667,-83.7494,234.7,MI,FLINT BISHOP INTL AP,,,72637.0,,48507.0,Flint
80,USW00014835,40.4122,-86.9369,182.6,IN,LAFAYETTE PURDUE UNIV AP,,,,,47906.0,West Lafayette
81,USW00014837,43.1406,-89.3453,264.0,WI,MADISON DANE RGNL AP,,,72641.0,,53704.0,Madison
82,USW00014839,42.955,-87.9044,204.2,WI,MILWAUKEE MITCHELL AP,,,72640.0,,53207.0,Milwaukee
83,USW00014840,43.1711,-86.2367,190.5,MI,MUSKEGON CO AP,,,72636.0,,49441.0,Muskegon
84,USW00014842,40.6675,-89.6839,198.1,IL,PEORIA GTR PEORIA AP,GSN,,72532.0,,61607.0,Peoria
85,USW00014847,46.4794,-84.3572,220.1,MI,SAULT STE MARIE SANDERSON FLD,,,72734.0,,49783.0,Sault Sainte Marie
86,USW00014850,44.7408,-85.5825,188.4,MI,TRAVERSE CITY CHERRY CPTL AP,,,,,49686.0,Traverse City
87,USW00014858,47.1686,-88.4889,333.8,MI,HANCOCK HOUGHTON CO AP,,,72744.0,,49913.0,Calumet
88,USW00014860,42.08,-80.1825,222.5,PA,ERIE INTL AP,,HCN,72526.0,,16505.0,Erie
89,USW00014898,44.4983,-88.1111,207.9,WI,GREEN BAY,,,72645.0,,54304.0,Green Bay
90,USW00014913,46.8369,-92.2097,435.3,MN,DULUTH,,,72745.0,,55811.0,Duluth
91,USW00014914,46.9253,-96.8111,274.3,ND,FARGO HECTOR INTL AP,,,72753.0,,58102.0,Fargo
92,USW00014918,48.5614,-93.3981,360.6,MN,INTL FALLS INTL AP,,,72747.0,,56649.0,International Falls
